stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00086] Also searching D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00223] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00234] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.01036] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.12310] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.12546] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.12562] al_display=000001DA0C75E320
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.12574] al_display->vt=000001DA0CC50DB0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13337] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.13353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13363] Score is : 897
